Category: All categories

Week,covid: (Maryland)
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,3
2020-03-01,8
2020-03-08,30
2020-03-15,68
2020-03-22,79
2020-03-29,89
2020-04-05,77
2020-04-12,68
2020-04-19,63
2020-04-26,56
2020-05-03,51
2020-05-10,51
2020-05-17,49
2020-05-24,48
2020-05-31,36
2020-06-07,39
2020-06-14,44
2020-06-21,55
2020-06-28,58
2020-07-05,66
2020-07-12,69
2020-07-19,69
2020-07-26,73
2020-08-02,63
2020-08-09,56
2020-08-16,52
2020-08-23,45
2020-08-30,45
2020-09-06,40
2020-09-13,37
2020-09-20,38
2020-09-27,48
2020-10-04,48
2020-10-11,42
2020-10-18,44
2020-10-25,48
2020-11-01,42
2020-11-08,84
2020-11-15,100
2020-11-22,79
2020-11-29,74
